[2019-05-09 15:20:36 ^6831.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6831] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6832] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 ^6833.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6833] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6834] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 ^6835.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6835] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6836] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 ^6837.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6837] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6838] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6839.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6839] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6840] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6841.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6841] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6842] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6843.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6843] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6844] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6846.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6847] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6846] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6849.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6848] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6849] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6850] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6851.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6851] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6852] abnormal exit, status=255, signal=0
[2019-05-09 15:20:37 ^6853.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
